117	692
118	693
116	691
116	690
119	694
119	695
115	689
120	696
114	688
114	687
121	697
121	698
113	686
122	699
112	685
112	684
111	683
110	682
109	681
109	680
108	679
107	678
107	677
106	676
105	675
105	674
104	673
103	672
102	671
102	670
101	669
100	668
99	667
98	666
98	665
97	664
96	663
95	662
95	661
94	660
93	659
92	658
92	657
91	656
90	655
89	654
89	653
88	652
87	651
87	650
86	649
85	648
84	647
84	646
83	645
82	644
82	643
81	642
80	641
79	640
79	639
78	638
77	637
77	636
76	635
75	634
74	633
74	632
73	631
72	630
72	629
71	628
71	627
70	626
69	625
69	624
68	623
67	622
67	621
66	620
66	619
65	618
64	617
64	616
63	615
62	614
62	613
61	612
60	611
60	610
59	609
58	608
58	607
57	606
57	605
56	604
56	603
55	602
55	601
54	600
53	599
53	598
52	597
51	596
51	595
50	594
50	593
49	592
49	591
48	590
47	589
47	588
46	587
45	586
44	585
44	584
43	583
42	582
42	581
41	580
40	579
39	578
38	577
38	576
37	575
36	574
36	573
35	572
34	571
33	570
33	569
32	568
31	567
31	566
30	565
29	564
28	563
27	562
26	561
26	560
25	559
24	558
23	557
23	556
22	555
21	554
20	553
20	552
19	551
18	550
18	549
17	548
16	547
15	546
14	545
14	544
13	543
12	542
11	541
11	540
10	539
9	538
8	537
8	536
7	535
6	534
6	533
5	532
4	531
4	530
3	529
3	528
2	527
1	526
1	525
0	524
